route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Ahmedabad-Mumbai,2025-01-20,3.29,+29.5% vs this route's past average,+22.5% vs similar-length routes this week,No (justified),N002,"N002 provides route-specific evidence of a transport-cost increase during this week, so the candidate is marked No (justified)."
Chennai-Bangalore,2025-02-24,3.58,+31.5% vs this route's past average,+38.7% vs similar-length routes this week,No (justified),N001,"N001 provides route-specific evidence of a transport-cost increase during this week, so the candidate is marked No (justified)."
Chennai-Bangalore,2025-03-03,3.48,+22.8% vs this route's past average,+32.0% vs similar-length routes this week,No (justified),N001,"N001 provides route-specific evidence of a transport-cost increase during this week, so the candidate is marked No (justified)."
Chennai-Bangalore,2025-03-10,3.57,+22.1% vs this route's past average,+33.8% vs similar-length routes this week,Yes,,"No validated context note explains the increase for this route and week, so the candidate remains flagged for review."
Chennai-Bangalore,2025-03-17,3.47,+13.7% vs this route's past average,+33.5% vs similar-length routes this week,Yes,,"No validated context note explains the increase for this route and week, so the candidate remains flagged for review."
Delhi-Jaipur,2024-11-11,4.17,+35.5% vs this route's past average,+21.0% vs similar-length routes this week,Yes,,"No validated context note explains the increase for this route and week, so the candidate remains flagged for review."
Delhi-Jaipur,2024-11-18,4.09,+27.6% vs this route's past average,+19.7% vs similar-length routes this week,Yes,,"No validated context note explains the increase for this route and week, so the candidate remains flagged for review."
Mumbai-Pune,2025-06-23,3.76,+6.2% vs this route's past average,+20.6% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
Mumbai-Pune,2025-09-15,3.98,+9.2% vs this route's past average,+23.6% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
Mumbai-Pune,2025-10-06,3.94,+5.4% vs this route's past average,+22.9% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
Mumbai-Pune,2025-10-20,4.10,+7.7% vs this route's past average,+24.8% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
Mumbai-Pune,2025-10-27,4.07,+5.5% vs this route's past average,+28.3% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
Mumbai-Pune,2025-11-03,4.20,+7.4% vs this route's past average,+24.1% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
Mumbai-Pune,2025-11-17,4.32,+8.9% vs this route's past average,+31.6% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
Mumbai-Pune,2025-11-24,4.16,+3.0% vs this route's past average,+23.0% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
Mumbai-Pune,2025-12-01,4.39,+7.7% vs this route's past average,+37.4% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
Mumbai-Pune,2025-12-08,4.43,+7.2% vs this route's past average,+38.8% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
Mumbai-Pune,2025-12-15,4.39,+4.4% vs this route's past average,+35.5% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
Mumbai-Pune,2025-12-22,4.49,+5.7% vs this route's past average,+38.9% vs similar-length routes this week,Yes,,"N003 may explain part of the own-history rise, but its all-routes scope does not explain this route's premium over same-week peers; the candidate remains flagged."
